Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2020-10-03 11:23 (EST),On Demand,Leanne Hainsby,20,Cycling,Beginner,20 min Beginner Ride,2020-09-10 01:00 (EST),115,96,38%,79,15.58,5.19,158,,,
2020-10-04 10:09 (EST),On Demand,Jess King,20,Cycling,Beginner,20 min Beginner Ride,2017-05-30 15:07 (EST),117,97,37%,82,15.71,5.23,160,,,
2020-10-04 10:32 (EST),On Demand,Leanne Hainsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-09-19 10:45 (EST),,,,,,,15,,,
2020-10-05 09:31 (EST),On Demand,Matt Wilpers,5,Cycling,Beginner,5 min Intro to Peloton Part 1,2017-06-28 11:00 (EST),16,54,27%,74,11.49,0.96,22,,,
2020-10-05 09:38 (EST),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-09-21 17:00 (EST),,,,,,,15,,,
2020-10-06 16:43 (EST),On Demand,Chelsea Jackson Roberts,5,Meditation,Emotions,5 min Acceptance Meditation,2020-10-06 10:00 (EST),,,,,,,,,,
2020-10-07 14:11 (EST),On Demand,Matt Wilpers,5,Cycling,Beginner,5 min Intro to Peloton Part 2,2017-06-28 11:00 (EST),25,85,35%,82,15.12,1.26,35,,,
2020-10-07 14:19 (EST),On Demand,Denis Morton,10,Cycling,Low Impact,10 min Warm Up Ride,2019-03-07 15:22 (EST),55,92,31%,102,15.49,2.58,76,,,
2020-10-07 14:31 (EST),On Demand,Jenn Sherman,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-09-14 09:00 (EST),,,,,,,15,,,
2020-10-08 11:31 (EST),On Demand,Cody Rigsby,20,Cycling,Music,20 min Beginner Ride,2018-08-24 15:11 (EST),115,96,36%,85,15.74,5.24,160,,,
2020-10-08 11:55 (EST),On Demand,Hannah Corbin,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2018-11-29 13:30 (EST),,,,,,,33,,,
2020-10-09 17:49 (EST),On Demand,Christine D'Ercole,30,Cycling,Low Impact,30 min Low Impact Ride,2019-03-11 11:18 (EST),155,86,34%,85,15.09,7.54,215,,,
2020-10-09 18:24 (EST),On Demand,Jess Sims,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-09-16 17:31 (EST),,,,,,,16,,,
2020-10-09 18:34 (EST),On Demand,Alex Toussaint,10,Strength,Arms & Light Weights,10 min Arms Toning,2019-02-13 17:02 (EST),,,,,,,65,,,
2020-10-10 11:20 (EST),On Demand,Alex Toussaint,10,Strength,Arms & Light Weights,10 min Arms Toning,2019-02-13 17:02 (EST),,,,,,,65,,,
2020-10-11 11:00 (EST),On Demand,Ally Love,30,Cycling,Music,30 min Pop Ride,2019-10-03 11:18 (EST),172,96,39%,78,15.77,7.88,240,,,
2020-10-11 11:34 (EST),On Demand,Hannah Corbin,10,Stretching,Full Body Stretch,10 min Smokey Robinson Post-Ride Stretch,2020-02-16 11:00 (EST),,,,,,,33,,,
2020-10-11 11:49 (EST),On Demand,Ross Rayburn,5,Meditation,Emotions,5 min Energizing Meditation,2020-10-05 10:00 (EST),,,,,,,,,,
2020-10-12 11:58 (EST),On Demand,Alex Toussaint,5,Cycling,Theme,5 min Peloton All-Star Warm Up Ride,2020-05-30 12:20 (EST),35,117,42%,77,17.12,1.43,49,,,
2020-10-12 12:05 (EST),On Demand,Alex Toussaint,20,Cycling,Beginner,20 min Beginner Ride,2019-12-07 10:00 (EST),103,86,35%,83,14.86,4.95,144,,,
2020-10-12 12:27 (EST),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-06-22 10:00 (EST),,,,,,,16,,,
