Period,Reading,Date Reading Taken
Dec-15,53,1/1/2016
Mar-16,7082,4/1/2016
Jun-16,8244,7/12/2016
Sep-16,11689,10/4/2016
Oct-16,12749,11/6/2016
Nov-16,13471,12/3/2016
Dec-16,14267,1/8/2017
Jan-17,15006,2/5/2017
Feb-17,15970,3/11/2017
Mar-17,16597,3/30/2017
Apr-17,17671,4/29/2017
May-17,18749,5/30/2017
Jun-17,20015,6/30/2017
Jul-17,21322,7/31/2017
Aug-17,22714,9/1/2017
Sep-17,23763,9/30/2017
Oct-17,24793,11/3/2017
Nov-17,25563,12/1/2017
Dec-17,26208,1/3/2018
Jan-18,26822,2/1/2018
Feb-18,27544,3/1/2018
Mar-18,28477,4/1/2018
Apr-18,29600,5/1/2018
May-18,30904,5/31/2018
Jun-18,32169,7/1/2018
Jul-18,33647,8/1/2018
Aug-18,34980,9/3/2018
Sep-18,35761,9/30/2018
Oct-18,36514,10/30/2018
Nov-18,37148,12/1/2018
Dec-18,37941,12/30/2018
Jan-19,38799,2/2/2019
Feb-19,39649,3/1/2019
Mar-19,40814,4/12/2019
Apr-19,41409,5/1/2019
May-19,42534,6/1/2019
Jun-19,43826,7/1/2019
Jul-19,45264,8/1/2019
Aug-19,46713,9/2/2019
Sep-19,47960,10/3/2019
Oct-19,48737,11/1/2019
Nov-19,49509,12/1/2019
