date, energy_Wh
10/10/2015,0
10/11/2015,0
10/12/2015,0
10/13/2015,0
10/14/2015,0
10/15/2015,0
10/16/2015,0
10/17/2015,0
10/18/2015,0
10/19/2015,0
10/20/2015,0
10/21/2015,0
10/22/2015,0
10/23/2015,0
10/24/2015,0
10/25/2015,0
10/26/2015,0
10/27/2015,0
10/28/2015,0
10/29/2015,0
10/30/2015,0
10/31/2015,0
11/1/2015,0
11/2/2015,0
11/3/2015,0
11/4/2015,1395
11/5/2015,0
11/6/2015,0
11/7/2015,0
11/8/2015,0
11/9/2015,82
11/10/2015,13197
11/11/2015,3686
11/12/2015,3103
11/13/2015,41516
11/14/2015,28645
11/15/2015,31594
11/16/2015,33618
11/17/2015,45775
11/18/2015,44024
11/19/2015,5292
11/20/2015,35666
11/21/2015,34156
11/22/2015,4107
11/23/2015,44727
11/24/2015,42096
11/25/2015,41590
11/26/2015,23097
11/27/2015,26912
11/28/2015,1508
11/29/2015,42587
11/30/2015,31318
12/1/2015,6840
12/2/2015,2626
12/3/2015,9865
12/4/2015,34997
12/5/2015,39457
12/6/2015,39992
12/7/2015,35328
12/8/2015,2876
12/9/2015,13455
12/10/2015,17572
12/11/2015,8903
12/12/2015,28884
12/13/2015,4957
12/14/2015,1917
12/15/2015,33320
12/16/2015,36233
12/17/2015,1159
12/18/2015,2842
12/19/2015,31008
12/20/2015,38074
12/21/2015,10610
12/22/2015,1436
12/23/2015,5993
12/24/2015,7200
12/25/2015,29118
12/26/2015,31856
12/27/2015,2872
12/28/2015,38810
12/29/2015,138
12/30/2015,220
12/31/2015,21223
1/1/2016,11979
1/2/2016,30325
1/3/2016,30053
1/4/2016,10717
1/5/2016,44046
1/6/2016,43088
1/7/2016,37936
1/8/2016,4054
1/9/2016,8220
1/10/2016,1551
1/11/2016,45008
1/12/2016,31262
1/13/2016,27791
1/14/2016,32005
1/15/2016,8042
1/16/2016,5721
1/17/2016,15099
1/18/2016,12756
1/19/2016,15420
1/20/2016,40820
1/21/2016,47114
1/22/2016,42556
1/23/2016,3798
1/24/2016,47141
1/25/2016,44855
1/26/2016,18974
1/27/2016,21697
1/28/2016,47808
1/29/2016,8876
1/30/2016,30059
1/31/2016,21824
2/1/2016,28337
2/2/2016,47616
2/3/2016,1869
2/4/2016,15557
2/5/2016,36
2/6/2016,21500
2/7/2016,42348
2/8/2016,1787
2/9/2016,6016
2/10/2016,9766
2/11/2016,14655
2/12/2016,37848
2/13/2016,34779
2/14/2016,49179
2/15/2016,29802
2/16/2016,3597
2/17/2016,46758
2/18/2016,54421
2/19/2016,47587
2/20/2016,36519
2/21/2016,34438
2/22/2016,53433
2/23/2016,26845
2/24/2016,3509
2/25/2016,21300
2/26/2016,55291
2/27/2016,55737
2/28/2016,34409
2/29/2016,30791
3/1/2016,46326
3/2/2016,22399
3/3/2016,57773
3/4/2016,14257
3/5/2016,55165
3/6/2016,53039
3/7/2016,14770
3/8/2016,53172
3/9/2016,52184
3/10/2016,5962
3/11/2016,42607
3/12/2016,59329
3/13/2016,48913
3/14/2016,10058
3/15/2016,8397
3/16/2016,29878
3/17/2016,39215
3/18/2016,42658
3/19/2016,62628
3/20/2016,56725
3/21/2016,18748
3/22/2016,60718
3/23/2016,16653
3/24/2016,21294
3/25/2016,7582
3/26/2016,36885
3/27/2016,29440
3/28/2016,6335
3/29/2016,41305
3/30/2016,62124
3/31/2016,50174
4/1/2016,18641
4/2/2016,9559
4/3/2016,24537
4/4/2016,2016
4/5/2016,50850
4/6/2016,53574
4/7/2016,8118
4/8/2016,40088
4/9/2016,56568
4/10/2016,64568
4/11/2016,16124
4/12/2016,9652
4/13/2016,63728
4/14/2016,63041
4/15/2016,63698
4/16/2016,63634
4/17/2016,62065
4/18/2016,59070
4/19/2016,26555
4/20/2016,63154
4/21/2016,62155
4/22/2016,27074
4/23/2016,41008
4/24/2016,64419
4/25/2016,29047
4/26/2016,7097
4/27/2016,64470
4/28/2016,64210
4/29/2016,56486
4/30/2016,56558
5/1/2016,16170
5/2/2016,9684
5/3/2016,12984
5/4/2016,11452
5/5/2016,10146
5/6/2016,44824
5/7/2016,11543
5/8/2016,23606
5/9/2016,47911
5/10/2016,63291
5/11/2016,62001
5/12/2016,59897
5/13/2016,27216
5/14/2016,60342
5/15/2016,41526
5/16/2016,47443
5/17/2016,49488
5/18/2016,58499
5/19/2016,48352
5/20/2016,56121
5/21/2016,40897
5/22/2016,25429
5/23/2016,55015
5/24/2016,20275
5/25/2016,52989
5/26/2016,54711
5/27/2016,50372
5/28/2016,51817
5/29/2016,12533
5/30/2016,29783
5/31/2016,57765
6/1/2016,59140
6/2/2016,41119
6/3/2016,32265
6/4/2016,47647
6/5/2016,9306
6/6/2016,52899
6/7/2016,47247
6/8/2016,50358
6/9/2016,47932
6/10/2016,57054
6/11/2016,22229
6/12/2016,43452
6/13/2016,43730
6/14/2016,62485
6/15/2016,58495
6/16/2016,56642
6/17/2016,54868
6/18/2016,59195
6/19/2016,59128
6/20/2016,53651
6/21/2016,55772
6/22/2016,32183
6/23/2016,54291
6/24/2016,58368
6/25/2016,58195
6/26/2016,57410
6/27/2016,56290
6/28/2016,24378
6/29/2016,36570
6/30/2016,58776
7/1/2016,48861
7/2/2016,57967
7/3/2016,59956
7/4/2016,58506
7/5/2016,31990
7/6/2016,52429
7/7/2016,40258
7/8/2016,23664
7/9/2016,11391
7/10/2016,14954
7/11/2016,42989
7/12/2016,57823
7/13/2016,54235
7/14/2016,27491
7/15/2016,48439
7/16/2016,57943
7/17/2016,40263
7/18/2016,44693
7/19/2016,51996
7/20/2016,58990
7/21/2016,57881
7/22/2016,50738
7/23/2016,52252
7/24/2016,57630
7/25/2016,45012
7/26/2016,56765
7/27/2016,54994
7/28/2016,47431
7/29/2016,20302
7/30/2016,54640
7/31/2016,11808
8/1/2016,14525
8/2/2016,24449
8/3/2016,54940
8/4/2016,54813
8/5/2016,53103
8/6/2016,30808
8/7/2016,52285
8/8/2016,56740
8/9/2016,57708
8/10/2016,12119
8/11/2016,53269
8/12/2016,52169
8/13/2016,30656
8/14/2016,51392
8/15/2016,47290
8/16/2016,26802
8/17/2016,43127
8/18/2016,49308
8/19/2016,53737
8/20/2016,40224
8/21/2016,58237
8/22/2016,55851
8/23/2016,59028
8/24/2016,55186
8/25/2016,50550
8/26/2016,32100
8/27/2016,52049
8/28/2016,53690
8/29/2016,50607
8/30/2016,56514
8/31/2016,25011
9/1/2016,14673
9/2/2016,49915
9/3/2016,44746
9/4/2016,55649
9/5/2016,40587
9/6/2016,12186
9/7/2016,12149
9/8/2016,26564
9/9/2016,40505
9/10/2016,23292
9/11/2016,27749
9/12/2016,58553
9/13/2016,57200
9/14/2016,42336
9/15/2016,49811
9/16/2016,52510
9/17/2016,56406
9/18/2016,12330
9/19/2016,6602
9/20/2016,33645
9/21/2016,49477
9/22/2016,53411
9/23/2016,22821
9/24/2016,52102
9/25/2016,58660
9/26/2016,56808
9/27/2016,29015
9/28/2016,5437
9/29/2016,54329
9/30/2016,21392
10/1/2016,8321
10/2/2016,8302
10/3/2016,39402
10/4/2016,28813
10/5/2016,53708
10/6/2016,52409
10/7/2016,51148
10/8/2016,29619
10/9/2016,2070
10/10/2016,54082
10/11/2016,51535
10/12/2016,50308
10/13/2016,31320
10/14/2016,53047
10/15/2016,48687
10/16/2016,37472
10/17/2016,38756
10/18/2016,6253
10/19/2016,44309
10/20/2016,39556
10/21/2016,13658
10/22/2016,7578
10/23/2016,51593
10/24/2016,46732
10/25/2016,31308
10/26/2016,44691
10/27/2016,10934
10/28/2016,4866
10/29/2016,7210
10/30/2016,18755
10/31/2016,47973
11/1/2016,47061
11/2/2016,29177
11/3/2016,3975
11/4/2016,40092
11/5/2016,18856
11/6/2016,23677
11/7/2016,47070
11/8/2016,44507
11/9/2016,13641
11/10/2016,41826
11/11/2016,33144
11/12/2016,45165
11/13/2016,34063
11/14/2016,45112
11/15/2016,5716
11/16/2016,3893
11/17/2016,21223
11/18/2016,41927
11/19/2016,42000
11/20/2016,7606
11/21/2016,9725
11/22/2016,36458
11/23/2016,43848
11/24/2016,5407
11/25/2016,2457
11/26/2016,10228
11/27/2016,33993
11/28/2016,41777
11/29/2016,1251
11/30/2016,2206
12/1/2016,31689
12/2/2016,32561
12/3/2016,31555
12/4/2016,38235
12/5/2016,253
12/6/2016,27265
12/7/2016,5330
12/8/2016,16023
12/9/2016,37885
12/10/2016,41656
12/11/2016,33087
12/12/2016,6365
12/13/2016,35868
12/14/2016,37590
12/15/2016,38832
12/16/2016,43532
12/17/2016,26
12/18/2016,3863
12/19/2016,30260
12/20/2016,37715
12/21/2016,39424
12/22/2016,2466
12/23/2016,38696
12/24/2016,3609
12/25/2016,39729
12/26/2016,36974
12/27/2016,22259
12/28/2016,17011
12/29/2016,1774
12/30/2016,14153
12/31/2016,12607
1/1/2017,30541
1/2/2017,19898
1/3/2017,2760
1/4/2017,19356
1/5/2017,39209
1/6/2017,12626
1/7/2017,1952
1/8/2017,29449
1/9/2017,35068
1/10/2017,31152
1/11/2017,39102
1/12/2017,15615
1/13/2017,42280
1/14/2017,31516
1/15/2017,43292
1/16/2017,42752
1/17/2017,31628
1/18/2017,3179
1/19/2017,20255
1/20/2017,6075
1/21/2017,20624
1/22/2017,5131
1/23/2017,6317
1/24/2017,1334
1/25/2017,33808
1/26/2017,13325
1/27/2017,30910
1/28/2017,14913
1/29/2017,26247
1/30/2017,34521
1/31/2017,37098
2/1/2017,17878
2/2/2017,33448
2/3/2017,34448
2/4/2017,50163
2/5/2017,20652
2/6/2017,48567
2/7/2017,273
2/8/2017,27963
2/9/2017,135
2/10/2017,16962
2/11/2017,223
2/12/2017,416
2/13/2017,2898
2/14/2017,19652
2/15/2017,7130
2/16/2017,3002
2/17/2017,36318
2/18/2017,34310
2/19/2017,23867
2/20/2017,53757
2/21/2017,48873
2/22/2017,41277
2/23/2017,48823
2/24/2017,29382
2/25/2017,21897
2/26/2017,48153
2/27/2017,53584
2/28/2017,29655
3/1/2017,14409
3/2/2017,45652
3/3/2017,50906
3/4/2017,45634
3/5/2017,59198
3/6/2017,57185
3/7/2017,7387
3/8/2017,32340
3/9/2017,47366
3/10/2017,7315
3/11/2017,6721
3/12/2017,42563
3/13/2017,59118
3/14/2017,151
3/15/2017,7282
3/16/2017,25868
3/17/2017,43415
3/18/2017,58544
3/19/2017,27631
3/20/2017,60865
3/21/2017,34120
3/22/2017,56025
3/23/2017,63684
3/24/2017,8169
3/25/2017,6915
3/26/2017,38119
3/27/2017,5990
3/28/2017,9352
3/29/2017,20235
3/30/2017,63204
3/31/2017,7409
4/1/2017,5158
4/2/2017,52986
4/3/2017,54537
4/4/2017,6856
4/5/2017,16229
4/6/2017,4955
4/7/2017,28984
4/8/2017,44567
4/9/2017,63707
4/10/2017,56744
4/11/2017,56471
4/12/2017,25551
4/13/2017,45717
4/14/2017,63041
4/15/2017,60157
4/16/2017,51873
4/17/2017,53338
4/18/2017,50580
4/19/2017,47139
4/20/2017,38592
4/21/2017,7676
4/22/2017,8071
4/23/2017,63454
4/24/2017,56384
4/25/2017,11360
4/26/2017,10517
4/27/2017,21732
4/28/2017,39906
4/29/2017,34240
4/30/2017,45219
5/1/2017,10982
5/2/2017,19096
